Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	347.0089445114136	14.460204956101151	static_pitod	17.416113	15.570781	121.21434	4.1791897	21.088608	22.347113	0.41432506	22.773003	21.720142	22.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.539491	8.16507	42.98702	-1.288807	12.894434	10.92079	56.91083	-0.540268	0.13062029	0.08795425	0.32242608	-0.09851778	-12.763814	10.940274	0.71407986	-56.864616	12.775262	10.926905	56.864616	0.0014230806	0.72604656	0.34319764	1.0066096	0.00014230805	282.60452	463.515	3233.5847	2.0251582e-06	11.940815	11.48196	56.81844	2.0251582e-07
1	9999	566.8466644287109	17.679892537953133	static_pitod	110.17433	80.20485	252.68968	7.6923285	60.390244	227.81665	1.6158584	231.22923	226.12982	98.5	91.13482	49.403015	174.24472	-26.619776	9.660498	9.890612	-0.6478875	2.0728028	15.394004	-12.977911	-96.03663	0.55588883	0.20271596	0.99970007	0.2831221	-0.89605176	0.84482473	0.62999535	5.386822	3.874302e-07	93.599075	42.81918	150.30942	1.2134879	105.28378	49.113808	166.92012	1.2134879	76.44536	15.1089115	87.096245	1.8500366	-28.838427	38.898968	83.94347	-91.07275	41.20977	25.427141	91.07275	0.005964786	0.6080111	1.0698391	8.394346	7.4668016e-05	2344.7844	2153.8613	8294.245	3.557867e-05	31.375626	75.26937	704.6505	4.4537873e-07
2	14999	787.5523405075073	19.07620366413401	static_pitod	233.50897	68.38907	326.26196	48.53145	101.4898	328.67087	1.9111978	330.4953	325.27988	124.5	163.61752	48.29869	220.24545	-45.675774	11.267378	8.825492	0.64757854	2.6956208	19.560825	-12.750152	-169.62308	0.18942818	0.042035438	0.28305343	0.13288234	-0.54751223	0.9564987	0.7297418	10.026001	7.4505806e-07	125.82659	45.94245	174.61043	3.85043	133.14542	50.557537	190.61256	3.85043	97.54155	33.62081	124.080124	1.5048018	-35.603878	20.640179	21.146805	-68.52746	37.134182	17.739946	68.52746	0.05300525	0.30082554	0.20727564	2.1146805	0.0017280992	1693.6532	1271.6588	4696.013	0.0028095564	11.47632	7.0543785	44.718735	9.159833e-05
3	19999	1010.2000484466553	19.822240387795034	static_pitod	317.68024	95.60536	411.5845	8.44209	126.525	327.7763	1.3045411	330.6762	325.89548	127.0	175.41675	52.302994	239.53447	-67.49504	9.7379265	8.9391775	1.0152807	2.7844348	20.76004	-12.77033	-180.63757	0.14795585	0.006288547	0.15871775	0.13269557	0.030283362	0.97619885	0.74717575	7.4012985	3.874302e-07	124.36804	53.846436	180.3931	1.7645319	127.973366	56.51203	191.15277	1.7645319	145.02544	36.29475	172.05539	9.222179	17.05208	37.30542	161.88144	-41.618553	27.468708	30.46207	161.88144	0.096187666	0.66523576	1.9631222	16.188145	0.0005848421	1682.4675	4420.153	26205.602	0.009252067	66.62727	302.52383	2620.56	5.6254597e-05
4	24999	1233.6552443504333	20.285244948821884	static_pitod	282.7816	50.10957	372.35748	199.09824	112.34091	369.9923	0.35871035	370.59476	369.31845	133.1	191.27394	52.894268	258.94037	-72.55547	8.8066	8.023477	0.9880489	2.7876139	22.546406	-14.124588	-195.97467	0.14207368	0.0050132815	0.1546189	0.13001473	-0.023694796	0.9538467	0.74974775	7.443078	8.940697e-08	142.8543	54.00767	190.35483	3.3665023	144.1031	56.46702	197.35004	3.3665023	148.82199	58.426357	200.48749	-0.8996422	4.7188897	7.194345	35.39656	-10.585627	6.746001	5.340224	35.39656	0.0002597541	0.06587031	0.09080371	0.7526723	1.6530471e-06	74.02652	118.45463	1252.9166	6.74722e-08	0.6735966	1.622658	22.84276	4.2938575e-10
5	29999	1456.0671212673187	20.62089869408297	static_pitod	357.03226	58.943604	471.69772	177.5398	133.13158	386.4172	1.802877	388.90683	383.61264	134.9	190.17305	53.84051	257.358	-69.162186	7.728927	10.975092	1.0057106	2.7818146	22.694038	-12.802212	-194.31702	0.1413077	0.005851888	0.15016168	0.12966391	0.011631562	0.9736595	0.7580323	7.2886586	2.9802322e-07	145.32031	54.667274	197.86276	3.6222348	149.8456	57.817738	208.46552	3.6222348	168.24367	49.114452	207.85307	-0.2880044	18.39806	18.876451	53.546783	-20.746971	21.517046	15.225825	53.546783	0.045051027	0.23532212	0.2700677	1.5464531	0.00022742251	694.809	763.8261	2867.258	0.0020295952	7.771372	10.926515	61.339985	1.0245618e-05
6	34999	1679.6290357112885	20.85323486615128	static_pitod	304.63416	90.647934	401.7343	53.067642	113.72093	370.6098	14.438021	403.31482	354.821	132.5	203.36618	51.01345	269.44196	-57.236683	9.860001	13.88997	1.0156533	2.9054666	23.339151	-13.470463	-207.47568	0.14508475	0.00506619	0.15560317	0.13445695	0.030519396	0.97554797	0.7831535	7.317894	4.917383e-07	139.77284	53.18873	191.03745	3.6074948	139.87143	54.877327	196.93758	3.6074948	198.1878	31.481846	229.311	26.900166	58.316364	33.014565	162.16747	5.475999	58.316364	33.014565	162.16747	5.475999	0.93513936	1.624742	12.06225	0.0286458	4490.7593	4859.1226	26298.29	29.986565	89.20745	190.25372	1785.042	0.15686437
7	39999	1904.3446106910706	21.01820324748725	static_pitod	352.9585	53.992172	421.33386	143.99274	128.5641	452.9781	14.519667	470.94217	420.0486	152.8	220.8116	54.061413	295.44962	-47.88911	13.018579	16.497292	1.021572	2.8450623	22.775158	-17.596436	-225.0557	0.1643671	0.009674603	0.1777424	0.14993228	0.03907883	0.9476823	0.76448834	8.084192	1.013279e-06	156.8745	56.96692	216.57596	4.4350357	155.6802	57.562943	214.5468	4.4350357	214.9099	50.00232	256.57996	13.427326	59.22969	32.322758	154.87529	-1.5408885	59.235565	32.311996	154.87529	0.25543115	0.5948231	0.68574816	4.8241544	0.0075078425	4552.9175	4707.0605	23986.355	0.06524508	47.542522	71.948524	534.25183	0.0019177368
8	44999	2127.537260055542	21.16347476426595	static_pitod	383.2591	54.615337	472.37033	142.24548	135.7027	439.7846	4.943945	447.4335	430.12363	148.3	219.1471	61.679253	297.02948	-77.329666	10.424056	12.41765	1.0017011	2.8258214	23.237732	-13.42926	-222.95595	0.18113768	0.0074108895	0.19339587	0.169221	0.002999234	0.9564005	0.7721133	6.9413424	4.172325e-07	154.18535	57.558125	218.74117	4.177755	155.1419	58.610405	218.89012	4.177755	192.57506	63.069115	238.33733	-12.026691	37.433163	22.405037	89.61178	-29.51306	39.020718	19.509247	89.61178	0.383089	0.33310494	0.29243404	1.8590261	0.016419373	1903.2272	1765.3615	8030.2715	0.14675719	16.074657	19.840248	123.58977	0.014675719
9	49999	2351.1209757328033	21.277604269614475	static_pitod	518.8908	93.6521	668.9623	148.86789	172.7931	594.18427	7.6905675	606.26495	580.10815	192.3	202.1582	59.20039	282.4399	-64.93127	7.205147	8.646589	0.98212606	2.7545185	24.04006	-13.4961195	-205.37105	0.1635229	0.0083155865	0.17962475	0.15236297	-0.031864837	0.9487077	0.76627177	7.847102	1.6391277e-07	189.63802	67.52112	260.5925	3.6747584	186.79852	66.96008	253.37279	3.6747584	197.24698	54.12487	244.57407	-3.5422091	10.448438	21.770205	58.17473	-19.724667	18.519472	15.496476	58.17473	0.002195102	0.18773343	0.30577993	2.4724147	0.00020077103	583.1116	830.2494	3384.299	4.8184725e-06	6.2510905	11.308602	75.70775	4.818473e-07
